Year,Presupuesto,Ingreso,Egreso,Superavit,Gobierno
2006,227.99,156.67,123.46,33.21,Arias
2007,226.76,203.28,172.03,31.25,Arias
2008,504.60,493.59,475.19,18.40,Arias
2009,673.59,681.01,645.47,35.54,Arias
2010,1364.18,812.60,785.77,26.83,Chinchilla
2011,265.20,253.80,219.49,34.30,Chinchilla
2012,314.36,317.19,282.57,34.62,Chinchilla
2013,343.61,318.17,286.38,31.80,Chinchilla
2014,365.53,338.80,308.82,29.98,Solis
2015,382.91,365.90,312.78,53.12,Solis
2016,395.08,399.04,330.18,68.86,Solis
2017,430.03,437.55,362.98,74.57,Solis
2018,475.02,470.84,364.96,105.88,Alvarado
2019,505.91,513.68,415.94,97.74,Alvarado
