Year,Inflacion,PIB,TBP,Compra,Venta
2000,10.25,4607290.9,15.5,317.74,318.3
2001,10.96,5233427.8,16,341.4,341.94
2002,9.68,5938755.6,17.5,378.39,379.05
2003,9.87,6855361.3,13.75,418.04,419.01
2004,13.13,8114385.5,14.25,457.58,459.64
2005,14.07,9532875,15.25,495.65,497.71
2006,9.43,11555641.5,11.25,515.84,519.95
2007,10.81,13816350.8,7,495.23,500.97
2008,13.9,16109612,11.5,550.08,560.85
2009,4.05,17521034.9,8.25,558.67,571.81
2010,5.82,19596936.7,8,507.85,518.09
2011,4.74,21370733.3,8,505.35,518.33
2012,4.55,23371405.9,9.2,502.07,514.32
2013,3.68,24860943.5,6.5,495.01,507.8
2014,5.13,27226883.4,7.2,533.31,545.53
2015,-0.81,29281373.3,5.95,531.94,544.87
2016,0.77,31136210.5,4.45,548.18,561.1
2017,2.57,33189220.6,5.95,566.42,572.56
2018,2.03,34937935.9,6,604.39,611.75
2019,1.52,36279503.8,5.75,570.09,576.49
